model,bf,n_scored,mean_score,mean_fert,reach_yes,reach_no,reach_unk
01-ai/Yi-34B,True,310,0.7675790322580646,9.882459574468085,6553,0,1408
FacebookAI/xlm-roberta-base,False,310,0.9263745161290323,2.984070744680851,6532,21,1408
Qwen/QwQ-32B,True,310,0.9144267741935485,5.894628191489362,6553,0,1408
Qwen/Qwen2.5-0.5B,True,310,0.9144267741935485,5.894628191489362,6553,0,1408
Qwen/Qwen2.5-72B,True,310,0.9144267741935485,5.894628191489362,6553,0,1408
Qwen/Qwen2.5-7B,True,310,0.9144267741935485,5.894628191489362,6553,0,1408
Qwen/Qwen2.5-Coder-7B,True,310,0.9144267741935485,5.894628191489362,6553,0,1408
allenai/OLMo-2-1124-7B,True,310,0.8100474193548387,8.01211595744681,6553,0,1408
bigscience/bloom,True,310,0.9008287096774192,5.891307978723405,6553,0,1408
bigscience/bloomz-560m,True,310,0.9008287096774192,5.891307978723405,6553,0,1408
cl100k_base,True,310,0.8100112903225807,8.01211595744681,6553,0,1408
deepseek-ai/DeepSeek-R1,True,310,0.8894248387096774,5.932591489361702,6553,0,1408
deepseek-ai/DeepSeek-V2,True,310,0.8050054838709678,8.484213829787235,6553,0,1408
deepseek-ai/deepseek-v3,True,310,0.8894248387096774,5.932591489361702,6553,0,1408
facebook/nllb-200-distilled-600M,False,310,0.9358635483870968,2.854884042553192,6522,31,1408
facebook/xglm-564M,False,310,0.917383870967742,2.9825324468085106,6527,26,1408
google-bert/bert-base-multilingual-cased,False,310,0.8827987096774194,3.3808734042553192,6481,72,1408
google/gemma-2-27b,True,310,0.9612306451612903,4.64328085106383,6553,0,1408
google/gemma-2-2b,True,310,0.9612306451612903,4.64328085106383,6553,0,1408
google/gemma-2-9b,True,310,0.9612306451612903,4.64328085106383,6553,0,1408
google/gemma-3-1b-it,True,310,0.9579877419354839,4.302337765957447,6553,0,1408
gpt-3.5-turbo,True,310,0.8100112903225807,8.01211595744681,6553,0,1408
gpt-4,True,310,0.8100112903225807,8.01211595744681,6553,0,1408
gpt-4o-mini,True,310,0.9065003225806452,5.486735638297873,6553,0,1408
gpt-4o,True,310,0.9065003225806452,5.486735638297873,6553,0,1408
internlm/internlm2_5-7b,False,310,0.7637167741935483,5.6546352941176465,6470,83,1408
meta-llama/Llama-2-13b-hf,True,310,0.8638854838709678,8.112444680851064,6553,0,1408
meta-llama/Llama-2-7b-hf,True,310,0.8638854838709678,8.112444680851064,6553,0,1408
meta-llama/Llama-3.1-8B,True,310,0.84736,7.3584643617021275,6553,0,1408
meta-llama/Llama-3.2-1B,True,310,0.84736,7.3584643617021275,6553,0,1408
meta-llama/Meta-Llama-3-8B,True,310,0.84736,7.3584643617021275,6553,0,1408
microsoft/Phi-3-medium-4k-instruct,True,310,0.8638854838709678,8.112444680851064,6553,0,1408
microsoft/Phi-3.5-mini-instruct,True,310,0.8638854838709678,8.112444680851064,6553,0,1408
microsoft/phi-4,True,310,0.8100474193548387,8.01211595744681,6553,0,1408
mistralai/Mistral-7B-v0.3,True,310,0.8770435483870969,7.650074468085106,6553,0,1408
mistralai/Mistral-Nemo-Base-2407,True,310,0.87855,6.947371276595745,6553,0,1408
mistralai/Mistral-Small-3.1-24B-Instruct-2503,True,310,0.87855,7.067830851063829,6553,0,1408
mistralai/Mixtral-8x22B-v0.1,True,310,0.8770435483870969,7.650074468085106,6553,0,1408
mistralai/Mixtral-8x7B-v0.1,True,310,0.8770435483870969,7.650074468085106,6553,0,1408
o1,True,310,0.9065003225806452,5.486735638297873,6553,0,1408
o200k_base,True,310,0.9065003225806452,5.486735638297873,6553,0,1408
o3,True,310,0.9065003225806452,5.486735638297873,6553,0,1408
tiiuae/Falcon3-7B-Base,True,310,0.7921551612903225,8.57232659574468,6553,0,1408
tiiuae/falcon-7b,True,310,0.7491003225806452,9.406634574468086,6553,0,1408
